ymd,hour,spot_num,spot_nm,x,y,io1,io2
20160224,1,B-01,도봉로(도봉산역),203959,203959,9571,10877
20160224,1,B-01,도봉로(도봉산역),203959,203959,9121,8870
20160224,1,B-01,도봉로(도봉산역),203959,203959,8414,7895
20160225,1,B-01,도봉로(도봉산역),203959,203959,2436,2621
20160225,1,B-01,도봉로(도봉산역),203959,203959,9923,11061
20160225,1,B-01,도봉로(도봉산역),203959,203959,9400,9063
20160225,1,B-01,도봉로(도봉산역),203959,203959,8125,7980
20160226,1,B-01,도봉로(도봉산역),203959,203959,2595,2770
20160226,1,B-01,도봉로(도봉산역),203959,203959,9919,10991
20160226,1,B-01,도봉로(도봉산역),203959,203959,9476,9197
20160226,1,B-01,도봉로(도봉산역),203959,203959,8970,8456
20160227,1,B-01,도봉로(도봉산역),203959,203959,2865,3122
20160227,1,B-01,도봉로(도봉산역),203959,203959,8301,8929
20160227,1,B-01,도봉로(도봉산역),203959,203959,10893,10555
20160227,1,B-01,도봉로(도봉산역),203959,203959,7268,7057
20160228,1,B-01,도봉로(도봉산역),203959,203959,2325,2764
20160228,1,B-01,도봉로(도봉산역),203959,203959,5980,6641
20160228,1,B-01,도봉로(도봉산역),203959,203959,9080,8769
20160228,1,B-01,도봉로(도봉산역),203959,203959,4781,4896
20160229,1,B-01,도봉로(도봉산역),203959,203959,1722,1849
20160229,1,B-01,도봉로(도봉산역),203959,203959,9435,10615
20160229,1,B-01,도봉로(도봉산역),203959,203959,9382,9089
20160229,1,B-01,도봉로(도봉산역),203959,203959,7382,7111
20160230,1,B-01,도봉로(도봉산역),203959,203959,0,0
20160230,1,B-01,도봉로(도봉산역),203959,203959,0,0
20160230,1,B-01,도봉로(도봉산역),203959,203959,0,0
20160230,1,B-01,도봉로(도봉산역),203959,203959,0,0
20160301,1,B-01,도봉로(도봉산역),203959,203959,2753,3160
20160301,1,B-01,도봉로(도봉산역),203959,203959,6400,7577
20160301,1,B-01,도봉로(도봉산역),203959,203959,9728,9797
20160301,1,B-01,도봉로(도봉산역),203959,203959,6197,6005
20160302,1,B-01,도봉로(도봉산역),203959,203959,1880,2192
20160302,1,B-01,도봉로(도봉산역),203959,203959,9988,11423
20160302,1,B-01,도봉로(도봉산역),203959,203959,9372,9006
20160302,1,B-01,도봉로(도봉산역),203959,203959,8046,7783
20160303,1,B-01,도봉로(도봉산역),203959,203959,2108,2339
20160303,1,B-01,도봉로(도봉산역),203959,203959,9621,11326
20160303,1,B-01,도봉로(도봉산역),203959,203959,9572,8918
20160303,1,B-01,도봉로(도봉산역),203959,203959,8113,7887
20160304,1,B-01,도봉로(도봉산역),203959,203959,2485,2783
20160304,1,B-01,도봉로(도봉산역),203959,203959,9839,11618
20160304,1,B-01,도봉로(도봉산역),203959,203959,9676,8860
20160304,1,B-01,도봉로(도봉산역),203959,203959,9044,8454
20160305,1,B-01,도봉로(도봉산역),203959,203959,2748,3169
20160305,1,B-01,도봉로(도봉산역),203959,203959,7840,8445
20160305,1,B-01,도봉로(도봉산역),203959,203959,10076,10088
20160305,1,B-01,도봉로(도봉산역),203959,203959,5748,6258
20160306,1,B-01,도봉로(도봉산역),203959,203959,1945,2278
20160306,1,B-01,도봉로(도봉산역),203959,203959,5725,6352
20160306,1,B-01,도봉로(도봉산역),203959,203959,9228,9569
20160306,1,B-01,도봉로(도봉산역),203959,203959,5930,5840
20160307,1,B-01,도봉로(도봉산역),203959,203959,1848,2087
20160307,1,B-01,도봉로(도봉산역),203959,203959,10024,11669
20160307,1,B-01,도봉로(도봉산역),203959,203959,9589,9139
20160307,1,B-01,도봉로(도봉산역),203959,203959,8026,7899
20160308,1,B-01,도봉로(도봉산역),203959,203959,2315,2632
20160308,1,B-01,도봉로(도봉산역),203959,203959,9939,11423
20160308,1,B-01,도봉로(도봉산역),203959,203959,9549,8886
20160308,1,B-01,도봉로(도봉산역),203959,203959,8216,8050
20160309,1,B-01,도봉로(도봉산역),203959,203959,2310,2611
20160309,1,B-01,도봉로(도봉산역),203959,203959,9867,11543
20160309,1,B-01,도봉로(도봉산역),203959,203959,9397,8718
20160309,1,B-01,도봉로(도봉산역),203959,203959,8468,8034
20160310,1,B-01,도봉로(도봉산역),203959,203959,2362,2663
20160310,1,B-01,도봉로(도봉산역),203959,203959,9959,11306
20160310,1,B-01,도봉로(도봉산역),203959,203959,9132,8845
20160310,1,B-01,도봉로(도봉산역),203959,203959,8230,7920
20160311,1,B-01,도봉로(도봉산역),203959,203959,2455,2833
20160311,1,B-01,도봉로(도봉산역),203959,203959,10140,11466
20160311,1,B-01,도봉로(도봉산역),203959,203959,9261,9139
20160311,1,B-01,도봉로(도봉산역),203959,203959,9167,8453
20160312,1,B-01,도봉로(도봉산역),203959,203959,2849,3204
20160312,1,B-01,도봉로(도봉산역),203959,203959,8403,9051
20160312,1,B-01,도봉로(도봉산역),203959,203959,10966,10529
20160312,1,B-01,도봉로(도봉산역),203959,203959,7305,7148
20160313,1,B-01,도봉로(도봉산역),203959,203959,2238,2745
20160313,1,B-01,도봉로(도봉산역),203959,203959,5991,6506
20160313,1,B-01,도봉로(도봉산역),203959,203959,8992,8959
20160313,1,B-01,도봉로(도봉산역),203959,203959,5685,5836
20160314,1,B-01,도봉로(도봉산역),203959,203959,1775,1977
20160314,1,B-01,도봉로(도봉산역),203959,203959,10228,11880
20160314,1,B-01,도봉로(도봉산역),203959,203959,9566,9099
20160314,1,B-01,도봉로(도봉산역),203959,203959,8311,8137
20160315,1,B-01,도봉로(도봉산역),203959,203959,2306,2645
20160315,1,B-01,도봉로(도봉산역),203959,203959,10039,11933
20160315,1,B-01,도봉로(도봉산역),203959,203959,9420,8786
20160315,1,B-01,도봉로(도봉산역),203959,203959,8198,7954
20160316,1,B-01,도봉로(도봉산역),203959,203959,2352,2650
20160316,1,B-01,도봉로(도봉산역),203959,203959,9980,11672
20160316,1,B-01,도봉로(도봉산역),203959,203959,9411,8712
20160316,1,B-01,도봉로(도봉산역),203959,203959,8440,8122
20160317,1,B-01,도봉로(도봉산역),203959,203959,2467,2782
20160317,1,B-01,도봉로(도봉산역),203959,203959,9972,11658
20160317,1,B-01,도봉로(도봉산역),203959,203959,9310,8847
20160317,1,B-01,도봉로(도봉산역),203959,203959,8627,7845
20160318,1,B-01,도봉로(도봉산역),203959,203959,2533,2829
20160318,1,B-01,도봉로(도봉산역),203959,203959,9953,11673
20160318,1,B-01,도봉로(도봉산역),203959,203959,9861,9453
20160318,1,B-01,도봉로(도봉산역),203959,203959,9347,8397
20160319,1,B-01,도봉로(도봉산역),203959,203959,2944,3316
20160319,1,B-01,도봉로(도봉산역),203959,203959,8565,9655
20160319,1,B-01,도봉로(도봉산역),203959,203959,11036,11191
20160319,1,B-01,도봉로(도봉산역),203959,203959,7721,7365
20160320,1,B-01,도봉로(도봉산역),203959,203959,2363,2799
20160320,1,B-01,도봉로(도봉산역),203959,203959,6185,7171
20160320,1,B-01,도봉로(도봉산역),203959,203959,9793,9528
20160320,1,B-01,도봉로(도봉산역),203959,203959,6170,5958
20160321,1,B-01,도봉로(도봉산역),203959,203959,1902,2100
20160321,1,B-01,도봉로(도봉산역),203959,203959,10025,12059
20160321,1,B-01,도봉로(도봉산역),203959,203959,9482,9023
20160321,1,B-01,도봉로(도봉산역),203959,203959,8349,7902
20160322,1,B-01,도봉로(도봉산역),203959,203959,2390,2681
20160322,1,B-01,도봉로(도봉산역),203959,203959,9954,12084
20160322,1,B-01,도봉로(도봉산역),203959,203959,9838,8725
20160322,1,B-01,도봉로(도봉산역),203959,203959,8397,8076
20160323,1,B-01,도봉로(도봉산역),203959,203959,2424,2688
20160323,1,B-01,도봉로(도봉산역),203959,203959,9872,11717
20160323,1,B-01,도봉로(도봉산역),203959,203959,9562,8859
20160323,1,B-01,도봉로(도봉산역),203959,203959,8314,8034
20160324,1,B-01,도봉로(도봉산역),203959,203959,2434,2790
20160324,1,B-01,도봉로(도봉산역),203959,203959,10324,12191
20160324,1,B-01,도봉로(도봉산역),203959,203959,8192,7043
20160324,1,B-01,도봉로(도봉산역),203959,203959,8524,8291
20160325,1,B-01,도봉로(도봉산역),203959,203959,2548,2891
20160325,1,B-01,도봉로(도봉산역),203959,203959,10101,11819
20160325,1,B-01,도봉로(도봉산역),203959,203959,9582,8949
20160325,1,B-01,도봉로(도봉산역),203959,203959,9445,8485
20160326,1,B-01,도봉로(도봉산역),203959,203959,2949,3292
20160326,1,B-01,도봉로(도봉산역),203959,203959,8610,9556
20160326,1,B-01,도봉로(도봉산역),203959,203959,11191,10733
20160326,1,B-01,도봉로(도봉산역),203959,203959,7527,7164
20160327,1,B-01,도봉로(도봉산역),203959,203959,2351,2721
20160327,1,B-01,도봉로(도봉산역),203959,203959,6002,7040
20160327,1,B-01,도봉로(도봉산역),203959,203959,10020,9730
20160327,1,B-01,도봉로(도봉산역),203959,203959,6145,5857
20160328,1,B-01,도봉로(도봉산역),203959,203959,1815,2050
20160328,1,B-01,도봉로(도봉산역),203959,203959,10018,11665
20160328,1,B-01,도봉로(도봉산역),203959,203959,9492,9089
20160328,1,B-01,도봉로(도봉산역),203959,203959,8226,7876
20160329,1,B-01,도봉로(도봉산역),203959,203959,2329,2705
20160329,1,B-01,도봉로(도봉산역),203959,203959,10116,11513
20160329,1,B-01,도봉로(도봉산역),203959,203959,9779,8790
20160329,1,B-01,도봉로(도봉산역),203959,203959,8551,8067
20160330,1,B-01,도봉로(도봉산역),203959,203959,2432,2687
20160330,1,B-01,도봉로(도봉산역),203959,203959,10186,11682
20160330,1,B-01,도봉로(도봉산역),203959,203959,9583,8925
20160330,1,B-01,도봉로(도봉산역),203959,203959,8988,8161
20160401,1,B-01,도봉로(도봉산역),203959,203959,2645,2943
20160401,1,B-01,도봉로(도봉산역),203959,203959,9967,11887
20160401,1,B-01,도봉로(도봉산역),203959,203959,9818,9229
20160401,1,B-01,도봉로(도봉산역),203959,203959,9187,8283
20160402,1,B-01,도봉로(도봉산역),203959,203959,2920,3220
20160402,1,B-01,도봉로(도봉산역),203959,203959,8821,9836
20160402,1,B-01,도봉로(도봉산역),203959,203959,11260,10764
20160402,1,B-01,도봉로(도봉산역),203959,203959,7694,7215
20160403,1,B-01,도봉로(도봉산역),203959,203959,2205,2696
20160403,1,B-01,도봉로(도봉산역),203959,203959,6392,7625
20160403,1,B-01,도봉로(도봉산역),203959,203959,10540,9183
20160403,1,B-01,도봉로(도봉산역),203959,203959,5739,5769
20160404,1,B-01,도봉로(도봉산역),203959,203959,1845,2126
20160404,1,B-01,도봉로(도봉산역),203959,203959,10570,11989
20160404,1,B-01,도봉로(도봉산역),203959,203959,9621,9229
20160404,1,B-01,도봉로(도봉산역),203959,203959,8450,7998
20160405,1,B-01,도봉로(도봉산역),203959,203959,2329,2584
20160405,1,B-01,도봉로(도봉산역),203959,203959,10003,12099
20160405,1,B-01,도봉로(도봉산역),203959,203959,10163,8716
20160405,1,B-01,도봉로(도봉산역),203959,203959,8746,8067
20160406,1,B-01,도봉로(도봉산역),203959,203959,2406,2718
20160406,1,B-01,도봉로(도봉산역),203959,203959,10056,12388
20160406,1,B-01,도봉로(도봉산역),203959,203959,9623,8951
20160406,1,B-01,도봉로(도봉산역),203959,203959,8644,8012
20160407,1,B-01,도봉로(도봉산역),203959,203959,2351,2632
20160407,1,B-01,도봉로(도봉산역),203959,203959,9940,11720
20160407,1,B-01,도봉로(도봉산역),203959,203959,9494,8944
20160407,1,B-01,도봉로(도봉산역),203959,203959,8545,8181
20160408,1,B-01,도봉로(도봉산역),203959,203959,2596,2936
20160408,1,B-01,도봉로(도봉산역),203959,203959,10015,11634
20160408,1,B-01,도봉로(도봉산역),203959,203959,9932,9111
20160408,1,B-01,도봉로(도봉산역),203959,203959,9523,8604
20160409,1,B-01,도봉로(도봉산역),203959,203959,2869,3284
20160409,1,B-01,도봉로(도봉산역),203959,203959,8707,9539
20160409,1,B-01,도봉로(도봉산역),203959,203959,11351,10474
20160409,1,B-01,도봉로(도봉산역),203959,203959,7190,7055
20160410,1,B-01,도봉로(도봉산역),203959,203959,2291,2705
20160410,1,B-01,도봉로(도봉산역),203959,203959,6189,7224
20160410,1,B-01,도봉로(도봉산역),203959,203959,10107,9241
20160410,1,B-01,도봉로(도봉산역),203959,203959,6414,6165
20160411,1,B-01,도봉로(도봉산역),203959,203959,1865,2082
20160411,1,B-01,도봉로(도봉산역),203959,203959,10188,11961
20160411,1,B-01,도봉로(도봉산역),203959,203959,9318,9017
20160411,1,B-01,도봉로(도봉산역),203959,203959,8388,8097
20160412,1,B-01,도봉로(도봉산역),203959,203959,2257,2566
20160412,1,B-01,도봉로(도봉산역),203959,203959,10114,11838
20160412,1,B-01,도봉로(도봉산역),203959,203959,9848,9109
20160412,1,B-01,도봉로(도봉산역),203959,203959,8999,8130
20160413,1,B-01,도봉로(도봉산역),203959,203959,2415,2891
20160413,1,B-01,도봉로(도봉산역),203959,203959,7523,8994
20160413,1,B-01,도봉로(도봉산역),203959,203959,10235,9809
20160413,1,B-01,도봉로(도봉산역),203959,203959,7124,6354
20160414,1,B-01,도봉로(도봉산역),203959,203959,2017,2321
20160414,1,B-01,도봉로(도봉산역),203959,203959,9924,11938
